index,topic,prompt
856,Harry Potter,"Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: The novels chronicle the life of a young wizard, Harry Potter, and his friends Hermione Granger and Ron Weasley, all of whom are students at Hogwarts School of Witchcraft and Wizardry. Conversation:  Apprentice: I've always been interested in the Harry Potter books and movies.  Wizard: Harry Potter is a series of fantasy novels   Apprentice: What else can you tell me about them?"
857,Green,"Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: By far the largest contributor to green in nature is chlorophyll, the chemical by which plants photosynthesize and convert sunlight into chemical energy. Conversation:  Apprentice: i love the color green but i dont know a lot about it, what about you?  Wizard: on the visible spectrum the color green is the color between blue and yellow  Apprentice: interesting i dint think it had anything to do with blue, i love the color green because it reminds me of nature"
858,The Walking Dead (TV series),"Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: As a result of very favorable Nielsen ratings that rank the show unprecedentedly high for a cable series, AMC has renewed the series each year. Conversation:  Wizard: I am a fan of The Walking Dead, a post-apocalyptic horror television series   Apprentice: Oh, I have heard of this show but I've never watched it personally. What is it about?  Wizard: Its a show in which sheriff's deputy Rick Grimes wakes up from a coma and realizes that a zombie apocalypse has happened!  Apprentice: That sounds scary! Are there any well known actors in the show?"
859,Cheerleading,"Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: It can be performed to motivate sports teams, entertain the audience, or for competition. Conversation:  Apprentice: 2, 4 , 6, 8 who do you appreciate??  Wizard: So, I see you are excited about cheerleading, it all about team and ecouragement.  Apprentice: Sure thing! Have you ever owned any pom poms?"
860,Game design,"Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: Game design creates goals, rules and challenges to define a board game, card game, dice game, casino game, role-playing game, sport, video game, war game or simulation that produces desirable interactions among its participants and, possibly, spectators. Conversation:  Apprentice: My favorite thing about games is that they come in infinite designs. What kind of games do you like?  Wizard: I really enjoy strategy games. Game design is currently a topic in metadesign.  Apprentice: Strategy games are the best! I prefer video games as a platform over board games, mainly because it takes up less space. How do you feel about video games?"
861,Bowling,"Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: Further strings of strikes are referred to as the number with the word ""bagger"", such as ""four-bagger"" for four consecutive strikes. Conversation:  Wizard: Bowling is a sport, but I enjoy it as a leisure  Apprentice: I also enjoy bowling, do you usually get a lot of strikes?  Wizard: not all the time, sometimes i need a second shot, a spare  Apprentice: Cool, yeah I've always enjoyed watching the pros on TV always get the strikes. "
862,Guns N' Roses,"Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: Guns N' Roses' debut album, ""Appetite for Destruction"" (1987), reached number one on the ""Billboard"" 200 a year after its release, on the strength of ""Sweet Child o' Mine"", the band's only single to reach number one on the ""Billboard"" Hot 100. Conversation:  Apprentice: Hi. Omg, i REALLY love Guns N' Roses! Best band ever.   Wizard: Yeah, GNR  from Los Angeles, California, formed in 1985.  Apprentice: I've been their fan for ages. Shadow of your love is my favorite song. What is your favorite song?"
863,Guns N' Roses,"Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: After leaving Guns N' Roses in 1996, he co-founded the supergroup Velvet Revolver, which re-established him as a mainstream performer in the mid to late 2000s. Conversation:  Apprentice: Have you ever heard of the group Guns N' Roses?  Wizard: Yes! GNR is one of my favorite rock bands from the 80s!  Apprentice: me too!  Do you remember when they came on the scene?  Like late 80's?"
864,Elvis Presley,"Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: ""Hound Dog"" has been recorded more than 250 times. Conversation:  Wizard: Hi, do you know the great musician, Elvis Presley?  Apprentice: Yes he was the king of Rock and Roll was he not? Can you tell me some more about him?  Wizard: Sure thing.  Elvis was born in Tupelo, Mississippi and moved to Memphis when he was 13 years old.   Apprentice: I think I've heard of Tupelo before, didn't they build some kind of museum there or something to honor Elvis?"
865,Instagram,"Given the knowledge and the conversation, write the next turn of the conversation. Knowledge: Bow Wow Wow are an English 1980s new wave band, created by Malcolm McLaren. Conversation:  Wizard: I have several photos on my Instagram account.   Apprentice: Oh really? Unfortunately, I've never used Instagram.  Wizard: It is a great place to find cat videos, and dog videos that are lol.  Apprentice: Sounds like a lot of fun! Is it easy to use the application or website?"
