episode_idx,topic,round,message,response,knowledge,gold
824,Japanese language,4,"Wow, that's inappropriate!",The Imperial dynasty continues to reign over Japan.,This imperial dynasty continues to reign over Japan.,"But to be fair, I did also take a class on the History of Japan. It was neat to learn about the Japanese archipelago since prehistoric times."
825,Blog,4,I didn't even know those existed!  I thought blogging was more of a solo effort.  Do you like to work with other authors?,The trolls are fighting over the estate.,"In Internet slang, a troll () is a person who sows discord on the Internet by starting quarrels or upsetting people, by posting inflammatory, extraneous, or off-topic messages in an online community (such as a newsgroup, forum, chat room, or blog) with the intent of provoking readers into an emotional response or of otherwise disrupting normal, on-topic discussion, often for the troll's amusement.","Yeah it was ,but in Until 2009, blogs were usually the work of a single individual,but its spread to be a real business."
826,Elvis Presley,4,Kinda not surprising. Justin Timberlake is kind of the same way: acting career on top of a pretty successful music career. Where was Elvis from?,The Saints,"Accompanied by guitarist Scotty Moore and bassist Bill Black, Presley was a pioneer of rockabilly, an uptempo, backbeat-driven fusion of country music and rhythm and blues.","He was born in Tupelo, Mississippi but later relocated to Memphis, Tennessee with his family when he was 13/"
827,Green,3,Right! And Green is an important component of the RGB color model.,The Guggenheim Gallery,no_passages_used,its also the largest contributor to color in nature
828,Instagram,3,Yes it is. Do you know when it was created?,"After a rebuilding season in 2012-2013 (15-17), Brown brought SMU into the",It is owned by Facebook.,It was created in October of 2010 by Kevin systrom and Mike Krieger and it originally launced exclusively for the iOS operating system
829,Game design,4,when was the principle of game design invented?,The Gulf Playhouse producer Fred Coe saw the Danger and Manhunt episodes and en,"The effort is undertaken by a game developer, which may range from a single person to an international team dispersed across the globe.","I'm not sure on that one, but I know that in 2007, the first Game Design Expo was hosted in Vancouver. While it was invented much earlier, technology has exponentially increased this field."
830,Cheerleading,3,"I agree, have you ever been a cheerleader?","It can be performed to motivate sports teams, entertain the audience, or for competition.","It can be performed to motivate sports teams, entertain the audience, or for competition.",No I have not. The activities in cheerleading can range from chanting slogans to intense physical activity
831,John Grisham,3,Do you read any of his books?,"No, I haven't.","Benjamin McLane Spock (May 2, 1903 – March 15, 1998) was an American pediatrician whose book ""Baby and Child Care"" (1946) is one of the best-sellers of all time.","I never have but I heard his books have been translated into 42 languages, I think he's a popular author."
832,Harry Potter,3,"Me, as well! It's such a long, intricate story. I'm blown away by her accomplishment. ","Tweedy encouraged his bandmates to join him in a new group, while Farr","They have attracted a wide adult audience as well as younger readers, and are often considered cornerstones of modern young adult literature.","Her books  won multiple awards, and sold more than 400 million copies."
833,Dog training,4,I see. So there are many different methods. Can you tell me more about dog training?,"Galbraith was born on October 15, 1908, to Canadians of Scottish descent,","For a dog to be considered obedient rather than simply trained in obedience, it must respond reliably each time its handler gives a command.","which training method do you want me to tell you about? Koehler method, clicker training, motivational training. dominance-based training?"
834,Cycling,3,What other type of bike so you use?,A bicycle,no_passages_used,"I also use the tricycles, quadracycles, recumbent and similar human-powered vehicles "
835,Bowling,4,I have had a few but far too many to make it enjoyable haha,Rick Santorum is a supporter of the War on Terror and shares the views,"The pin version of bowling is often played on a flat wooden or other synthetic surface (which can be oiled in different patterns for different techniques), while in target bowling, the surface may be grass, gravel or a synthetic surface.",Same! My highest score has been 120 but the highest you can achieve is 300.
836,Dylan's Candy Bar,4,i meant it is chocolate or fruity candy,Dylan's Candy Bar is a chain of boutique candy shops and candy supplier currently located in,"Dylan's Candy Bar is a chain of boutique candy shops and candy supplier currently located in New York City; East Hampton, New York; Los Angeles, Chicago and Miami Beach, as well as in wholesale venues around the globe.",Its not a candy bar its a place to buy candy. Like a candy shop.
837,Hot dog,4,Where does it originate from?,Nijinsky spent his summer after graduation rehearsing and then performing at,no_passages_used,hotdogs were originally called frankfurter so its german
838,Green,4,"Yeah, exactly. The grass is green, it also signifies cleanliness","Taylor Swift was born on December 13, 1989, in Reading, Pennsylvania. Her father, Scott Kings",no_passages_used,"A lot of minerals have the color green in them as well, like emeralds "
839,Discovery Channel,3,Me too! I learned so much about the world through watching that channel.,No,Educational technology is the use of both physical hardware and educational theoretics.,Yeah and it transformed from originally just about doumentaries  into stuff like science and technology.
840,Stock market,3,"Oh, so I could tell my kids they own part of a company.  That's cool.  Maybe I should get them a share in a company they know then, like Apple or XBox or Snapchat?","The anonymous play The True Tragedy of Richard III (c. 1590), performed in","As of mid 2017, the size of the world stock market (total market capitalisation) was about US$76.3 trillion.","Yes, it's like the shares of a company are sold to investors through equity crowdfunding platforms."
